[hexa_points],
0,0
0,54
0,108
0,162
0,216
0,270
0,324
0,378
0,432
0,486
0,540
0,594
0,648
0,702
0,756
0,810
0,864
50,27
50,81
50,135
50,189
50,243
50,297
50,351
50,405
50,459
50,513
50,567
50,621
50,675
50,729
50,783
50,837
50,891
100,0
100,54
100,108
100,162
100,216
100,270
100,324
100,378
100,432
100,486
100,540
100,594
100,648
100,702
100,756
100,810
100,864
150,27
150,81
150,135
150,189
150,243
150,297
150,351
150,405
150,459
150,513
150,567
150,621
150,675
150,729
150,783
150,837
150,891
200,0
200,54
200,108
200,162
200,216
200,270
200,324
200,378
200,432
200,486
200,540
200,594
200,648
200,702
200,756
200,810
200,864
250,27
250,81
250,135
250,189
250,243
250,297
250,351
250,405
250,459
250,513
250,567
250,621
250,675
250,729
250,783
250,837
250,891
300,0
300,54
300,108
300,162
300,216
300,270
300,324
300,378
300,432
300,486
300,540
300,594
300,648
300,702
300,756
300,810
300,864
350,27
350,81
350,135
350,189
350,243
350,297
350,351
350,405
350,459
350,513
350,567
350,621
350,675
350,729
350,783
350,837
350,891
400,0
400,54
400,108
400,162
400,216
400,270
400,324
400,378
400,432
400,486
400,540
400,594
400,648
400,702
400,756
400,810
400,864
450,27
450,81
450,135
450,189
450,243
450,297
450,351
450,405
450,459
450,513
450,567
450,621
450,675
450,729
450,783
450,837
450,891
500,0
500,54
500,108
500,162
500,216
500,270
500,324
500,378
500,432
500,486
500,540
500,594
500,648
500,702
500,756
500,810
500,864
550,27
550,81
550,135
550,189
550,243
550,297
550,351
550,405
550,459
550,513
550,567
550,621
550,675
550,729
550,783
550,837
550,891
600,0
600,54
600,108
600,162
600,216
600,270
600,324
600,378
600,432
600,486
600,540
600,594
600,648
600,702
600,756
600,810
600,864
650,27
650,81
650,135
650,189
650,243
650,297
650,351
650,405
650,459
650,513
650,567
650,621
650,675
650,729
650,783
650,837
650,891
700,0
700,54
700,108
700,162
700,216
700,270
700,324
700,378
700,432
700,486
700,540
700,594
700,648
700,702
700,756
700,810
700,864
750,27
750,81
750,135
750,189
750,243
750,297
750,351
750,405
750,459
750,513
750,567
750,621
750,675
750,729
750,783
750,837
750,891
800,0
800,54
800,108
800,162
800,216
800,270
800,324
800,378
800,432
800,486
800,540
800,594
800,648
800,702
800,756
800,810
800,864
850,27
850,81
850,135
850,189
850,243
850,297
850,351
850,405
850,459
850,513
850,567
850,621
850,675
850,729
850,783
850,837
850,891
900,0
900,54
900,108
900,162
900,216
900,270
900,324
900,378
900,432
900,486
900,540
900,594
900,648
900,702
900,756
900,810
900,864
950,27
950,81
950,135
950,189
950,243
950,297
950,351
950,405
950,459
950,513
950,567
950,621
950,675
950,729
950,783
950,837
950,891
1000,0
1000,54
1000,108
1000,162
1000,216
1000,270
1000,324
1000,378
1000,432
1000,486
1000,540
1000,594
1000,648
1000,702
1000,756
1000,810
1000,864
1050,27
1050,81
1050,135
1050,189
1050,243
1050,297
1050,351
1050,405
1050,459
1050,513
1050,567
1050,621
1050,675
1050,729
1050,783
1050,837
1050,891
1100,0
1100,54
1100,108
1100,162
1100,216
1100,270
1100,324
1100,378
1100,432
1100,486
1100,540
1100,594
1100,648
1100,702
1100,756
1100,810
1100,864
1150,27
1150,81
1150,135
1150,189
1150,243
1150,297
1150,351
1150,405
1150,459
1150,513
1150,567
1150,621
1150,675
1150,729
1150,783
1150,837
1150,891
1200,0
1200,54
1200,108
1200,162
1200,216
1200,270
1200,324
1200,378
1200,432
1200,486
1200,540
1200,594
1200,648
1200,702
1200,756
1200,810
1200,864
1250,27
1250,81
1250,135
1250,189
1250,243
1250,297
1250,351
1250,405
1250,459
1250,513
1250,567
1250,621
1250,675
1250,729
1250,783
1250,837
1250,891
1300,0
1300,54
1300,108
1300,162
1300,216
1300,270
1300,324
1300,378
1300,432
1300,486
1300,540
1300,594
1300,648
1300,702
1300,756
1300,810
1300,864
1350,27
1350,81
1350,135
1350,189
1350,243
1350,297
1350,351
1350,405
1350,459
1350,513
1350,567
1350,621
1350,675
1350,729
1350,783
1350,837
1350,891
1400,0
1400,54
1400,108
1400,162
1400,216
1400,270
1400,324
1400,378
1400,432
1400,486
1400,540
1400,594
1400,648
1400,702
1400,756
1400,810
1400,864
1450,27
1450,81
1450,135
1450,189
1450,243
1450,297
1450,351
1450,405
1450,459
1450,513
1450,567
1450,621
1450,675
1450,729
1450,783
1450,837
1450,891
1500,0
1500,54
1500,108
1500,162
1500,216
1500,270
1500,324
1500,378
1500,432
1500,486
1500,540
1500,594
1500,648
1500,702
1500,756
1500,810
1500,864
1550,27
1550,81
1550,135
1550,189
1550,243
1550,297
1550,351
1550,405
1550,459
1550,513
1550,567
1550,621
1550,675
1550,729
1550,783
1550,837
1550,891
